Tarefa,Empresa,Status,Dono,Prazo,Projeto sugerido (legado),Prioridade saudável,Movimento mínimo,Bloco,Esforço,Impacto,Notas,Origem,Retorno,Tipo de energia,Projeto
Lembrar de Edson e Lázaro — Sollu,Sollu,A fazer,Erick,,,Esta semana,Lembrar de Edson e Lázaro — verificar o que está pendente com cada um,💼 Execução,Baixo,Médio,Edson também aparece com relatório/GPT — confirmar se são clientes ou fornecedores,Lembretes,Médio,Micro-movimento,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
Comunicado Bica — final de expediente,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Redigir comunicado e enviar para equipe,📬 Comunicação & Ops,Baixo,Alto,,Lembretes,Alto,Execução,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Criar documento com senhas e acessos críticos dos negócios (cofre digital),Pessoal do Erick,A fazer,Erick,,Segurança Operacional,Depois,Listar sistemas críticos e guardar acessos em local seguro (ex: Notion privado ou password manager),⚙️ Admin & Finanças,Baixo,Médio,,Claude,Médio,Admin,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21)
Mensagem bom dia para clientes Sollu,Sollu,A fazer,Erick,,,Hoje,Definir o que precisa comunicar e mandar hoje,📬 Comunicação & Ops,Baixo,Médio,,Lembretes,Médio,Micro-movimento,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
Lana — Nova conta em outro banco AMP213,AMP213,A fazer,Erick,,,Esta semana,Confirmar com Lana qual banco e quais documentos são necessários,⚙️ Admin & Finanças,Médio,Alto,,Lembretes,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
⚠️ URGENTE — Pagar mínimo fatura cartão AMP (atrasado desde 15/04),AMP213,A fazer,Erick,,,Hoje,"Acessar cartão AMP e pagar valor mínimo R$ 3.051,53 IMEDIATAMENTE — já atrasado desde 15/04",⚙️ Admin & Finanças,Baixo,Alto,"ATRASO DESDE 15/04/2026. Valor mínimo R$ 3.051,53. Juros correndo.",Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
"Mapear e fechar parceiros fixos AMP 213 (decoração, foto/vídeo, DJ, bolo)",AMP213,A fazer,Erick,,Operação AMP213,Depois,Listar quem já foi parceiro e avaliar quais manter como fixos,📬 Comunicação & Ops,Médio,Médio,,Claude,Médio,Conversa,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Pagar EMIVE — Segurança Eletrônica Bica,Bica Bar Sensorial,A fazer,Erick,,,Hoje,Verificar vencimento e processar pagamento,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
"Criar 3 pacotes fechados AMP 213 (Casamento, Aniversário, Corporativo)",AMP213,A fazer,Erick,,Comercial AMP213,Esta semana,Definir o que está incluso e o preço base de cada pacote,🎯 Foco Profundo,Médio,Alto,,Claude,Alto,Decisão,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Definir escopo e preço de cada serviço Sollu (portfólio fechado),Sollu,A fazer,Erick,,Produtização Sollu,Esta semana,Listar os 5 serviços principais e colocar preço mínimo e máximo em cada um,🎯 Foco Profundo,Médio,Alto,,Claude,Alto,Decisão,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21)
Backup vídeos + organizar fotos,Pessoal do Erick,A fazer,Erick,,,Depois,Fazer backup dos vídeos e organizar pastas de fotos,⚙️ Admin & Finanças,Médio,Médio,,Lembretes,Baixo,Admin,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21)
"Pedidos de bebidas — Bica Bar (BEE, AMBEV, VINHOS, DESTILADOS, COCA, HEINEKEN)",Bica Bar Sensorial,A fazer,Erick,,Operação Bica,Hoje,Listar fornecedores e mandar pedidos hoje,💼 Execução,Baixo,Alto,,Lembretes,Alto,Execução,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Revisar e atualizar site Sollu com novo posicionamento,Sollu,A fazer,Gabriel + Erick,,Presença Digital Sollu,Depois,Erick aprova texto de posicionamento que o Claude gera com base no DNA da empresa,💼 Execução,Médio,Médio,,Claude,Médio,Execução,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21)
Levantamento de faturamento fim de semana — Bica,Bica Bar Sensorial,A fazer,Erick,,,Hoje,Acessar planilha ou caixa e somar faturamento de sáb + dom,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Pagar EMIVE — pessoal,Pessoal do Erick,A fazer,Erick,,,Hoje,Verificar vencimento e processar pagamento,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Lembrar de Arinaldo — Sollu,Sollu,A fazer,Erick,,,Esta semana,Verificar o que precisa lembrar de Arinaldo e agir,💼 Execução,Baixo,Médio,Contexto não especificado — confirmar pauta,Lembretes,Médio,Micro-movimento,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
Revisar proposta AMP213,AMP213,A fazer,Erick,,,Esta semana,Abrir proposta e identificar o que falta para fechar,💼 Execução,Médio,Alto,,Lembretes,Alto,Foco profundo,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Criar FORM de melhorias Bica — equipe,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Criar formulário simples com 3-5 perguntas de melhoria e enviar para equipe,🎯 Foco Profundo,Médio,Alto,,Lembretes,Alto,Execução,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Documentar conceito sensorial do Bica em texto oficial de marca,Bica Bar Sensorial,A fazer,Erick,,Identidade Bica,Esta semana,Erick descreve em voz ou texto o que é a experiência sensorial do Bica — Claude transforma em documento,🎯 Foco Profundo,Médio,Alto,,Claude,Alto,Foco profundo,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
"Pagar NORSA REFRIGERANTES — R$ 45,69",Bica Bar Sensorial,A fazer,Erick,,,Hoje,Verificar se já foi pago ou processar agora,⚙️ Admin & Finanças,Baixo,Alto,Vencimento 28/04 — verificar se está em atraso,Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Decisão: ticket mínimo por evento AMP 213 — definir piso comercial,AMP213,A fazer,Erick,,Comercial AMP213,Esta semana,Definir o valor mínimo abaixo do qual nenhum evento é aceito,🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Pagar cachaça de Jambu — Bica,Bica Bar Sensorial,A fazer,Erick,,,Hoje,Verificar valor e processar pagamento,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Decoração com Drika — AMP213,AMP213,A fazer,Erick,,,Esta semana,Confirmar data e escopo com Drika,📬 Comunicação & Ops,Baixo,Médio,,Lembretes,Médio,Conversa,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Criar automação de atendimento WhatsApp AMP213,AMP213,A fazer,Erick,,Automação Operacional AMP213,Esta semana,Definir ferramenta (Whascale já aparece na lista) e mapear fluxo básico de atendimento,🎯 Foco Profundo,Alto,Alto,,Lembretes,Alto,Foco profundo,BICA + AMP — Sistemas & Automação (https://www.notion.so/BICA-AMP-Sistemas-Automa-o-52208b9e970f486a979bb60a9002f695?pvs=21)
Definir datas de ativações Bacardi no semestre — Bica Bar,Bica Bar Sensorial,A fazer,Erick,,Parcerias Bica,Esta semana,Conversar com contato Bacardi e fechar pelo menos 2 datas no semestre,🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Mensagem para Thaynan — alinhamento AMP213,AMP213,A fazer,Erick,,,Hoje,Mandar áudio ou mensagem com pauta específica para Thaynan,📬 Comunicação & Ops,Baixo,Alto,,Lembretes,Alto,Micro-movimento,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Analisar avaliações Google + TripAdvisor — Bica,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Abrir Google e TripAdvisor e responder avaliações pendentes,💼 Execução,Baixo,Médio,,Lembretes,Médio,Admin,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Pagar Paulo,Pessoal do Erick,A fazer,Erick,,,Hoje,Verificar valor combinado e processar pagamento para Paulo,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Criar checklist de abertura e fechamento do Bica Bar,Bica Bar Sensorial,A fazer,Gabriel + Erick,,Processos Bica,Depois,Erick descreve o que acontece na abertura — Gabriel formata como checklist no Notion,🤝 Reunião/Gabriel,Baixo,Médio,,Claude,Médio,Execução,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Criar checklist de produção por tipo de evento AMP 213,AMP213,A fazer,Gabriel + Erick,,Processos AMP213,Depois,"Erick descreve o que precisa acontecer antes, durante e depois de um casamento",💼 Execução,Médio,Médio,,Claude,Alto,Execução,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Mapear pipeline atual de clientes Sollu e criar no Notion,Sollu,A fazer,Gabriel + Erick,,CRM Sollu,Esta semana,Listar todos os clientes ativos e leads quentes com status e próximo passo,🤝 Reunião/Gabriel,Baixo,Alto,,Claude,Alto,Execução,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
CMV — Custo de mercadoria vendida AMP213,AMP213,A fazer,Erick,,Gestão Financeira AMP213,Esta semana,Levantar custos de insumos do último evento e montar planilha base,🎯 Foco Profundo,Alto,Alto,,Lembretes,Alto,Foco profundo,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Analisar concorrência AMP213,AMP213,A fazer,Erick,,,Depois,Listar 3 concorrentes diretos e um critério de comparação para começar,🎯 Foco Profundo,Médio,Médio,,Lembretes,Médio,Foco profundo,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Saldo Google Ads — Bica,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Verificar saldo Google Ads e performance atual,⚙️ Admin & Finanças,Baixo,Médio,,Lembretes,Médio,Admin,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Mapear cardápio Bica com custo por drink (CMV),Bica Bar Sensorial,A fazer,Erick,,Gestão Financeira Bica,Esta semana,Listar os 10 drinks mais vendidos e calcular custo de insumo de cada um,⚙️ Admin & Finanças,Médio,Alto,,Claude,Alto,Admin,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Decidir: Bica Bar como bar oficial dos eventos AMP 213,Bica Bar Sensorial,A fazer,Erick,,Estratégia Bica + AMP213,Esta semana,Erick decide se ativa essa sinergia e com qual modelo (incluso no pacote ou add-on),🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Falar com Santo sobre Fruta Pão,AMP213,A fazer,Erick,,,Esta semana,Ligar ou mandar mensagem para Santo hoje,📬 Comunicação & Ops,Baixo,Médio,,Lembretes,Médio,Conversa,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Verificar parcerias influenciadores — Bica,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Mapear quem são os influencers alvo e qual proposta fazer,📬 Comunicação & Ops,Médio,Médio,,Lembretes,Médio,Foco profundo,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Proposta Jusbrasil — Daniel Boiler,Sollu,A fazer,Erick,,Comercial Sollu,Hoje,Abrir conversa com Daniel Boiler e montar estrutura da proposta,🎯 Foco Profundo,Médio,Alto,,Lembretes,Alto,Foco profundo,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
"Pagar IND DE BEB IGARASSU LTDA — R$ 372,77 (2 boletos)",Bica Bar Sensorial,A fazer,Erick,,,Hoje,Verificar se já foi pago — dois boletos distintos,⚙️ Admin & Finanças,Baixo,Alto,"Dois boletos: R$ 148,79 + R$ 223,98. Vencimento 28/04.",Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Post TripAdvisor + Google — pedir depoimentos clientes Bica,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Criar post simples pedindo avaliação no Google para clientes e amigos,📬 Comunicação & Ops,Baixo,Médio,,Lembretes,Médio,Micro-movimento,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Pagar cartão Recarga Pay — vence 16/05,Pessoal do Erick,A fazer,Erick,,,Esta semana,Pagar cartão Recarga Pay antes do dia 16/05,⚙️ Admin & Finanças,Baixo,Alto,Vencimento 16/05 — prazo: 14/05,Google Tasks,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Criar CRM de leads/prospects de eventos AMP 213 no Notion,AMP213,A fazer,Gabriel,,Comercial AMP213,Esta semana,"Gabriel cria banco de dados com: nome, tipo de evento, data, valor estimado, status",🤝 Reunião/Gabriel,Baixo,Alto,,Claude,Alto,Execução,BICA + AMP — Sistemas & Automação (https://www.notion.so/BICA-AMP-Sistemas-Automa-o-52208b9e970f486a979bb60a9002f695?pvs=21)
Pagar Axel,Pessoal do Erick,A fazer,Erick,,,Hoje,Verificar valor e processar pagamento Axel,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Checklist festa de Bruno — AMP213,AMP213,A fazer,Erick,,,Hoje,Abrir checklist existente ou criar um do zero com itens críticos do evento,💼 Execução,Médio,Alto,,Lembretes,Alto,Execução,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Definir ritual semanal de revisão operacional (Erick + sistema),Pessoal do Erick,A fazer,Erick,,Rotina Erick,Esta semana,"Definir dia e hora fixos da semana para revisar tarefas, projetos e decisões pendentes",🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21)
Carta do Detran — Eginar (multa),Pessoal do Erick,A fazer,Erick,,,Esta semana,Verificar o que está pendente com o Detran e carta recebida,💼 Execução,Baixo,Baixo,,Lembretes,Baixo,Admin,Erick — Família & Casa (https://www.notion.so/Erick-Fam-lia-Casa-79c1712d65e246e4ab7cb4f688435edd?pvs=21)
Jade — Depoimentos e opiniões de clientes Bica,Bica Bar Sensorial,A fazer,,,,Esta semana,Jade coleta depoimentos com clientes que frequentaram no fim de semana,📬 Comunicação & Ops,Baixo,Médio,Delegar para Jade,Lembretes,Médio,Execução,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Pagar cartão Recarga PAY — vence 16/05,Pessoal do Erick,A fazer,Erick,,,Esta semana,Acessar banco e verificar prazo + valor do cartão CEF,⚙️ Admin & Finanças,Baixo,Alto,Prazo: 16/05,Lembretes,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
"Pagar CULLIGAN BRASIL (Bica) — R$ 119,90",Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Pagar CULLIGAN antes de 11/05,⚙️ Admin & Finanças,Baixo,Médio,"Vencimento 11/05. R$ 119,90.",Google Tasks,Médio,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Comprar aventais cozinha AMP213,AMP213,A fazer,Erick,,,Esta semana,Definir quantidade e onde comprar,⚙️ Admin & Finanças,Baixo,Baixo,,Lembretes,Baixo,Micro-movimento,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Analisar caso de Rafael — Sollu,Sollu,A fazer,Erick,,,Esta semana,Abrir dossiê do Rafael e listar pendencias do caso,🎯 Foco Profundo,Médio,Alto,,Lembretes,Alto,Foco profundo,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21)
Lembrar Ana Maria — AMP213,AMP213,A fazer,Erick,,,Hoje,Confirmar o que precisa resolver com Ana Maria,📬 Comunicação & Ops,Baixo,Médio,Contexto não especificado — confirmar pauta,Lembretes,Médio,Micro-movimento,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Usar IA para responder automaticamente no WhatsApp — Sollu,Sollu,A fazer,Erick,,Automação Operacional Sollu,Esta semana,Mapear fluxo atual de atendimento e definir o que pode ser automatizado,🎯 Foco Profundo,Alto,Alto,,Lembretes,Alto,Foco profundo,Sollu — Automação Operacional (https://www.notion.so/Sollu-Automa-o-Operacional-69273fa6ae26830baf0f019e9c663c05?pvs=21)
