Tarefa,Bloco,Dono,Empresa,Esforço,Impacto,Movimento mínimo,Notas,Origem,Prazo,Prioridade saudável,Projeto,Projeto sugerido (legado),Retorno,Status,Tipo de energia
Rodar campanha ADS Bica,💼 Execução,Gabriel + Erick,Bica Bar Sensorial,Médio,Médio,Definir objetivo da campanha e verba antes de subir,,Claude,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),Marketing Bica,Médio,A fazer,Execução
Conferir clientes em prospecção — Sollu,💼 Execução,Erick,Sollu,Baixo,Alto,Abrir pipeline e listar quem está em fase de fechamento,,Lembretes,,Esta semana,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),,Alto,A fazer,Foco profundo
"Listar todas as obrigações financeiras mensais fixas (juros, boletos, folha)",⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,"Abrir planilha ou anotar: empresa, credor, valor, vencimento — sem deixar de fora nenhum",,Claude,,Hoje,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),Controle Financeiro Geral,Alto,A fazer,Admin
Revisar checklist abertura Bica,💼 Execução,Erick,Bica Bar Sensorial,Médio,Alto,Abrir checklist atual e revisar etapas críticas da abertura,,Lembretes,,Esta semana,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),Operação Bica,Alto,A fazer,Execução
Consulta Dra. Fabiana — 17h,💼 Execução,Erick,Pessoal do Erick,Baixo,Médio,Confirmar horário com Dra. Fabiana,Consulta: 17h,Lembretes,,Hoje,Erick — Saúde & Bem-estar (https://www.notion.so/Erick-Sa-de-Bem-estar-c93ecd69b3a441dbb75de27a7505a008?pvs=21),,Médio,A fazer,Micro-movimento
Vídeo Bica — Reels,💼 Execução,Erick,Bica Bar Sensorial,Médio,Alto,Gravar ou briefar editor com conceito do vídeo,,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),Marketing Bica,Alto,A fazer,Execução
"⚠️ Pagar CREDIX FINANCE SECURITIZADORA — R$ 1.569,33 (2 boletos)",⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,"Verificar boletos: R$ 717,05 (venc. 30/04) + R$ 852,28 (venc. 04/05) — confirmar pagamento","Dois boletos: R$ 717,05 venc. 30/04 e R$ 852,28 venc. 04/05. Total: R$ 1.569,33.",Google Tasks,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
⚠️ Pagar cartões Nubank (Sollu + Pessoal) — vence 10/05,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Pagar cartões Nubank Sollu + Pessoal antes do dia 10/05,Vencimento 10/05 — prazo urgente,Google Tasks,,Hoje,"Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21), Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)",,Alto,A fazer,Admin
Criar funil de captação Sollu (orgânico ou meta ads),🎯 Foco Profundo,Gabriel + Erick,Sollu,Alto,Alto,"Decidir canal prioritário (LinkedIn, Instagram ou WhatsApp) antes de montar funil",,Claude,,Depois,"Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21), Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21)",Captação Sollu,Alto,A fazer,Decisão
Revisar site Sollu,🎯 Foco Profundo,Erick,Sollu,Alto,Alto,Listar o que está desatualizado e definir responsavel pela revisão,,Lembretes,,Esta semana,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21),Presença Digital Sollu,Alto,A fazer,Foco profundo
Pagar plano de saúde,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Verificar vencimento e pagar plano,,Lembretes,,Esta semana,"Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21), Erick — Saúde & Bem-estar (https://www.notion.so/Erick-Sa-de-Bem-estar-c93ecd69b3a441dbb75de27a7505a008?pvs=21)",,Alto,A fazer,Admin
Alinhar com Gabriel: divisão de responsabilidades nos 3 negócios,🤝 Reunião/Gabriel,Gabriel + Erick,Pessoal do Erick,Baixo,Alto,Reunião de 30min: Gabriel confirma o que assume em cada empresa agora,,Claude,,Esta semana,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21),Gestão de Pessoas,Alto,A fazer,Conversa
Divulgação clientes AMP213 — Zap Day Use,📬 Comunicação & Ops,Erick,AMP213,Médio,Alto,Montar lista de contatos e criar mensagem de divulgação,,Lembretes,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),,Alto,A fazer,Execução
CMV — Custo de mercadoria vendida Bica,⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Alto,Alto,Levantar custos de insumos Bica e estruturar planilha de CMV,,Lembretes,,Esta semana,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),Gestão Financeira Bica,Alto,A fazer,Foco profundo
Criar roteiro de diagnóstico financeiro replicável (Raio-X Sollu),🎯 Foco Profundo,Erick,Sollu,Alto,Alto,Gravar ou escrever o passo a passo que Erick faz hoje em um diagnóstico real,,Claude,,Esta semana,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21),Produtização Sollu,Alto,A fazer,Foco profundo
Resolver transferência automática Santander,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Médio,Verificar conta e configurar transferência automática,,Lembretes,,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Médio,A fazer,Admin
Pagar cartão CEF VISA — vence 15/05,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Pagar cartão CEF VISA antes do dia 15/05,Vencimento 15/05 — prazo: 13/05,Google Tasks,,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Alto,A fazer,Admin
"Decisão: definir canal de captação prioritário da Sollu (LinkedIn, Instagram ou WhatsApp)",🎯 Foco Profundo,Erick,Sollu,Baixo,Alto,Erick escolhe 1 canal — Claude ajuda a montar estratégia específica,,Claude,,Esta semana,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21),Captação Sollu,Alto,A fazer,Decisão
Relatório Aperol — Bica,💼 Execução,Erick,Bica Bar Sensorial,Médio,Médio,Analisar relatório do Aperol e extrair insights de venda,,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),,Médio,A fazer,Foco profundo
Documentar fluxo de atendimento Sollu — do lead ao encerramento,🤝 Reunião/Gabriel,Gabriel + Erick,Sollu,Médio,Alto,Erick descreve em voz ou texto o que faz do primeiro contato ao encerramento,,Claude,,Esta semana,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21),Processos Sollu,Alto,A fazer,Execução
Ver boletos Bica e AMP213,⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Abrir ASAAS ou banco e verificar boletos Bica + AMP pendentes,,Lembretes,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Marcar cirurgião vascular,📬 Comunicação & Ops,Erick,Pessoal do Erick,Baixo,Médio,Marcar consulta com cirurgião vascular,,Lembretes,,Esta semana,Erick — Saúde & Bem-estar (https://www.notion.so/Erick-Sa-de-Bem-estar-c93ecd69b3a441dbb75de27a7505a008?pvs=21),,Alto,A fazer,Micro-movimento
Fazer DRE Bica,⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Alto,Alto,Levantar custos de insumos do último período e montar planilha,,Lembretes,,Esta semana,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),Gestão Financeira Bica,Alto,A fazer,Foco profundo
Decisão: modelo de onboarding Sollu — assíncrono (formulário) ou síncrono (reunião),🎯 Foco Profundo,Erick,Sollu,Baixo,Alto,Erick define o modelo padrão — isso desbloqueia criação de fluxo e template,,Claude,,Esta semana,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21),Processos Sollu,Alto,A fazer,Decisão
Criar calendário de capacidade AMP 213 para o semestre,⚙️ Admin & Finanças,Gabriel + Erick,AMP213,Baixo,Alto,Mapear quantos eventos o espaço comporta por mês e quais datas já estão ocupadas,,Claude,,Esta semana,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),Operação AMP213,Alto,A fazer,Admin
Enviar Jusbrasil Prefeito,📬 Comunicação & Ops,Erick,Sollu,Baixo,Alto,Localizar proposta e enviar para o Prefeito,,Lembretes,,Hoje,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),,Alto,A fazer,Execução
Criar calendário editorial de conteúdo Bica (Instagram),🤝 Reunião/Gabriel,Gabriel,Bica Bar Sensorial,Baixo,Médio,Gabriel monta calendário com temas por semana; Erick valida,,Claude,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),Marketing Bica,Médio,A fazer,Execução
Levar camisas e aventais bordados AMP213,💼 Execução,Erick,AMP213,Baixo,Baixo,Separar e levar no próximo evento,,Lembretes,,Esta semana,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Baixo,A fazer,Micro-movimento
Cobrança ASAAS + notificação — Sollu,💼 Execução,Erick,Sollu,Baixo,Alto,Abrir ASAAS e disparar cobranças pendentes,,Lembretes,,Hoje,Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21),,Alto,A fazer,Execução
Transferir milhas UAU,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Médio,Transferir milhas para o destino correto,,Lembretes,,Esta semana,Erick — Família & Casa (https://www.notion.so/Erick-Fam-lia-Casa-79c1712d65e246e4ab7cb4f688435edd?pvs=21),,Médio,A fazer,Admin
Montar DRE Sollu — primeiro mês,🎯 Foco Profundo,Erick,Sollu,Alto,Alto,"Abrir conta de resultados Sollu: receita do mês, custos fixos, custos variáveis, margem real.","Sem DRE, qualquer decisão de investimento é chútes. Prioridade alta.",Claude,12/05/2026,Esta semana,Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21),Gestão Financeira Pessoal — Erick,Alto,A fazer,Foco profundo
Decisão: aceitar eventos corporativos no AMP 213? Com qual critério?,🎯 Foco Profundo,Erick,AMP213,Baixo,Médio,"Erick define critérios mínimos: tipo de empresa, perfil, ticket mínimo",,Claude,,Depois,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Estratégia AMP213,Médio,A fazer,Decisão
Pegar cadeiras para Concerto Bica — até quinta,💼 Execução,Erick,Bica Bar Sensorial,Baixo,Médio,Pegar cadeiras e reservar para o concerto,Prazo: até quinta-feira,Lembretes,,Hoje,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),,Médio,A fazer,Micro-movimento
Decisão: precificação do Raio-X Sollu — valor fixo ou por perfil de cliente,🎯 Foco Profundo,Erick,Sollu,Baixo,Alto,Definir faixa de preço e lógica de variação — Claude estrutura tabela depois,,Claude,,Esta semana,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21),Produtização Sollu,Alto,A fazer,Decisão
Campanha ADS Bica,🎯 Foco Profundo,Erick,Bica Bar Sensorial,Médio,Alto,Ativar campanha ou briefar Jade sobre o que postar e quando,,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),Marketing Bica,Alto,A fazer,Execução
Pagar cartão CEF VISA — vence 15/05,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Acessar internet banking CEF e pagar antes do vencimento.,Vencimento 15/05.,Google Tasks,13/05/2026,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),Gestão Financeira Pessoal — Erick,Alto,A fazer,Admin
Planejar e executar primeiro evento de experiência paga no Bica,🎯 Foco Profundo,Erick,Bica Bar Sensorial,Alto,Alto,"Escolher tema, data e preço do ingresso — Claude gera o planejamento completo",,Claude,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Experiências Bica,Alto,A fazer,Decisão
Imposto de renda,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Médio,Alto,Reunir documentos e dar entrada na declaração,,Lembretes,,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Alto,A fazer,Foco profundo
Pagar Recarga Pay — vence 16/05,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Acessar app Recarga Pay e pagar antes do vencimento.,Vencimento 16/05.,Google Tasks,14/05/2026,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),Gestão Financeira Pessoal — Erick,Alto,A fazer,Admin
Ads Solutions — verificar campanhas,⚙️ Admin & Finanças,Erick,Sollu,Baixo,Médio,Abrir plataforma de anúncios e verificar performance das campanhas,,Lembretes,,Esta semana,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21),,Médio,A fazer,Admin
Revisar nova empresa Paulo — Sollu,💼 Execução,Erick,Sollu,Médio,Alto,Verificar o que foi combinado com Paulo sobre a nova empresa,"Confirmar se Paulo é cliente, sócio ou fornecedor nesse contexto",Lembretes,,Esta semana,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21),,Alto,A fazer,Foco profundo
Revisar formulário da equipe AMP213,💼 Execução,Erick,AMP213,Baixo,Médio,Abrir formulário e listar o que precisa ajustar,,Lembretes,,Esta semana,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Médio,A fazer,Admin
"Pagar EMIVE PATRULHA 24H — R$ 446,05 (Bica)",⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Verificar vencimento 05/05 e processar pagamento EMIVE,"Vencimento 05/05. R$ 446,05.",Google Tasks,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Rodar DRE do último evento AMP 213,⚙️ Admin & Finanças,Erick,AMP213,Baixo,Alto,Pegar recibos e pagamentos do último evento e calcular resultado líquido,,Claude,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),Gestão Financeira AMP213,Alto,A fazer,Admin
Nova carta de vinho — Bica,💼 Execução,Erick,Bica Bar Sensorial,Médio,Alto,Revisar carta atual e mapear o que precisa ser atualizado ou incluído,,Lembretes,,Esta semana,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),,Alto,A fazer,Foco profundo
Montar proposta comercial visual AMP 213,💼 Execução,Gabriel + Erick,AMP213,Médio,Alto,Erick aprova estrutura da proposta; Gabriel monta o documento,,Claude,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Comercial AMP213,Alto,A fazer,Execução
Definir meta mensal de novos clientes Sollu,🎯 Foco Profundo,Erick,Sollu,Baixo,Alto,Decidir: quantos clientes novos por mês são viáveis sem comprometer qualidade,,Claude,,Esta semana,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),Estratégia Sollu,Alto,A fazer,Decisão
Cancelar RD Station AMP + MANY e outros,⚙️ Admin & Finanças,Erick,AMP213,Baixo,Médio,Listar todas as assinaturas ativas que não estão sendo usadas e cancelar uma por uma,,Lembretes,,Esta semana,"BICA + AMP — Sistemas & Automação (https://www.notion.so/BICA-AMP-Sistemas-Automa-o-52208b9e970f486a979bb60a9002f695?pvs=21), BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)",,Alto,A fazer,Admin
Postagem nova Sollu,🎯 Foco Profundo,Erick,Sollu,Médio,Alto,"Definir produto, preço, entregavel e próximo passo da postagem",,Lembretes,,Esta semana,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21),Marketing Sollu,Alto,A fazer,Execução
Usar IA para responder automaticamente no WhatsApp — Sollu,🎯 Foco Profundo,Erick,Sollu,Alto,Alto,Mapear fluxo atual de atendimento e definir o que pode ser automatizado,,Lembretes,,Esta semana,Sollu — Automação Operacional (https://www.notion.so/Sollu-Automa-o-Operacional-69273fa6ae26830baf0f019e9c663c05?pvs=21),Automação Operacional Sollu,Alto,A fazer,Foco profundo
Lembrar Ana Maria — AMP213,📬 Comunicação & Ops,Erick,AMP213,Baixo,Médio,Confirmar o que precisa resolver com Ana Maria,Contexto não especificado — confirmar pauta,Lembretes,,Hoje,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Médio,A fazer,Micro-movimento
Analisar caso de Rafael — Sollu,🎯 Foco Profundo,Erick,Sollu,Médio,Alto,Abrir dossiê do Rafael e listar pendencias do caso,,Lembretes,,Esta semana,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21),,Alto,A fazer,Foco profundo
Comprar aventais cozinha AMP213,⚙️ Admin & Finanças,Erick,AMP213,Baixo,Baixo,Definir quantidade e onde comprar,,Lembretes,,Esta semana,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Baixo,A fazer,Micro-movimento
"Pagar CULLIGAN BRASIL (Bica) — R$ 119,90",⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Médio,Pagar CULLIGAN antes de 11/05,"Vencimento 11/05. R$ 119,90.",Google Tasks,,Esta semana,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Médio,A fazer,Admin
Pagar cartão Recarga PAY — vence 16/05,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Acessar banco e verificar prazo + valor do cartão CEF,Prazo: 16/05,Lembretes,,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Alto,A fazer,Admin
Jade — Depoimentos e opiniões de clientes Bica,📬 Comunicação & Ops,,Bica Bar Sensorial,Baixo,Médio,Jade coleta depoimentos com clientes que frequentaram no fim de semana,Delegar para Jade,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),,Médio,A fazer,Execução
Carta do Detran — Eginar (multa),💼 Execução,Erick,Pessoal do Erick,Baixo,Baixo,Verificar o que está pendente com o Detran e carta recebida,,Lembretes,,Esta semana,Erick — Família & Casa (https://www.notion.so/Erick-Fam-lia-Casa-79c1712d65e246e4ab7cb4f688435edd?pvs=21),,Baixo,A fazer,Admin
Definir ritual semanal de revisão operacional (Erick + sistema),🎯 Foco Profundo,Erick,Pessoal do Erick,Baixo,Alto,"Definir dia e hora fixos da semana para revisar tarefas, projetos e decisões pendentes",,Claude,,Esta semana,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21),Rotina Erick,Alto,A fazer,Decisão
Checklist festa de Bruno — AMP213,💼 Execução,Erick,AMP213,Médio,Alto,Abrir checklist existente ou criar um do zero com itens críticos do evento,,Lembretes,,Hoje,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Alto,A fazer,Execução
